point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s2_exe_effect,s2_exe_effect_normalized,s3_exe_effect,s3_exe_effect_normalized
0,0.434419,-2.585432,1.934566,0.015251382333157704,0.4081703345432153,-0.03802088118331737,-0.521419741464014,-0.004401551947070814,-0.46201047037081344
1,3.386174,0.840029,1.699955,0.01958730297915423,0.4708212666825735,-0.05852775813978539,-0.7488066458668309,-0.03451581046546082,-0.8352298799261799
2,3.301212,1.79498,1.412066,0.015363038660713535,0.40978368810103216,-0.05695298721032982,-0.7313450749239425,-0.032672210348762665,-0.8123813231008441
3,2.491566,0.497108,1.404295,0.011061057051449552,0.3476231506115781,-0.0692587533902036,-0.8677954024841228,-0.041086444322091964,-0.916662669874464
4,4.306793,0.585986,1.401205,0.014674158250735037,0.39982986206467563,-0.057313668600298406,-0.7353444271858575,-0.035588754298809366,-0.8485273504159108
5,4.679169,0.160874,-0.85379,0.005935499351480633,0.27356253145942233,-0.06071567715348891,-0.7730670016814295,-0.039243624387108156,-0.8938237821883698
6,3.372509,2.272609,-0.933369,0.010125944066088355,0.3341114411104851,-0.055995720473446475,-0.7207305907950448,-0.03164088696576117,-0.7995996733773616
7,2.257317,0.150396,-1.064909,0.007982718409957457,0.30314337317188733,-0.07369617918105487,-0.9169990192142969,-0.0428043131737299,-0.9379529831694216
8,4.247918,0.83631,-1.462618,0.01787882375065708,0.4461349716727909,-0.05447063378686812,-0.7038199348554224,-0.03275054378416886,-0.8133521442317343
9,2.974479,1.536612,-1.501752,0.013815073281965073,0.3874167026748594,-0.062165795411638136,-0.789146383365853,-0.0365973819337313,-0.861027721631656
10,3.168172,0.150369,-1.533771,0.010038383114218785,0.3328462483863739,-0.06909909236013023,-0.866025029186462,-0.04406490680687947,-0.9535760811502676
11,2.166173,1.481159,1.699935,-0.004657252926113298,0.1205048861989324,-0.06399570892610384,-0.8094370580630548,-0.038098127347589994,-0.8796271275214348
12,1.763008,2.350288,1.412795,-0.01786982017832006,-0.07040719958128716,-0.05733040235724429,-0.7355299765115315,-0.02840585146200736,-0.759506438477876
13,2.733717,2.584867,1.170593,-0.003948755195492648,0.1307421683971175,-0.05664454951006537,-0.7279250176420298,-0.03230629374236038,-0.8078463557296712
