point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline,s2_exe_effect,s2_exe_effect_normalized,s2_exe_baseline
0,-8.975343,-0.946605,1.873613,0.02520854325576,0.49820237541058643,2.549446387850332,0.0138605562192,0.6278288424860654,2.9289534382568907
1,3.38956,0.831319,5.099955,-0.020483575961498524,-0.9468930990110191,2.549446387850332,-0.011580746522211083,-0.9354733282508109,2.9289534382568907
2,4.644652,0.204363,-4.898523,-0.022162750032830303,-1.0,2.549446387850332,-0.01263085866405822,-1.0,2.9289534382568907
3,3.374021,2.268794,-4.899185,-0.018305898408102816,-0.8780201285497803,2.549446387850332,-0.011126527239446293,-0.9075627295698347,2.9289534382568907
4,2.303238,0.176349,-4.938714,-0.021134025191656303,-0.9674647261306252,2.549446387850332,-0.010997245061041827,-0.8996186744956296,2.9289534382568907
5,1.887022,1.721515,5.087452,-0.015942519397572852,-0.8032740154132756,2.549446387850332,-0.009418410711849123,-0.8026033922825302,2.9289534382568907
6,3.249461,2.789903,4.810843,-0.01697034543735576,-0.8357808630716338,2.549446387850332,-0.010612206182702089,-0.8759590325172009,2.9289534382568907
7,1.55103,3.394785,4.69254,-0.010734973829428451,-0.6385760179842722,2.549446387850332,-0.007915710709869295,-0.7102663685483801,2.9289534382568907
8,2.90617,4.367137,4.146604,-0.013052511663131039,-0.7118723214312674,2.549446387850332,-0.009130351726513997,-0.7849029135903888,2.9289534382568907
9,0.064571,3.976723,3.929762,-0.0009309986313290608,-0.32850766412329013,2.549446387850332,-0.004903464766894405,-0.5251716558558173,2.9289534382568907
10,1.413786,5.07371,3.553669,-0.006004938540712601,-0.4889801422255492,2.549446387850332,-0.006438396736416774,-0.6194892505276481,2.9289534382568907
11,2.976591,5.602591,2.907965,-0.011063003072043998,-0.6489505329356957,2.549446387850332,-0.008433816773076419,-0.7421026444465186,2.9289534382568907
12,0.106835,5.456815,2.464824,0.0048636574003646516,-0.1452412420207334,2.549446387850332,-0.0032004413263391207,-0.4205252755781934,2.9289534382568907
13,1.604177,6.17659,1.939694,-0.004228531342278519,-0.43279806866093684,2.549446387850332,-0.005837004236203924,-0.5825352387538202,2.9289534382568907
14,3.123248,6.383145,1.082065,-0.01023735095433187,-0.6228377992916465,2.549446387850332,-0.008155422732304629,-0.7249960515694822,2.9289534382568907
15,0.286558,6.180465,0.721859,0.006166859530634561,-0.1040251300747086,2.549446387850332,-0.0027008643747588046,-0.38982756560658904,2.9289534382568907
16,1.801185,6.579989,-0.042431,-0.0043099014702252525,-0.43537154534933076,2.549446387850332,-0.005863704132741621,-0.584175878254088,2.9289534382568907
17,0.376176,6.159078,-1.024321,0.005064705462606511,-0.13888273534903572,2.549446387850332,-0.002998329162302138,-0.408106006487187,2.9289534382568907
18,3.119271,6.348194,-1.232557,-0.010280906565874659,-0.6242153238670962,2.549446387850332,-0.00817077827899837,-0.725939610149134,2.9289534382568907
19,1.703084,6.064139,-2.214447,-0.005027239051706989,-0.4580586369176346,2.549446387850332,-0.006116743384751544,-0.5997244850203942,2.9289534382568907
20,0.092394,5.373971,-2.58184,0.004643351393867512,-0.15220881582625445,2.549446387850332,-0.0032742966597578693,-0.42506349456122106,2.9289534382568907
21,3.176249,5.486002,-3.005973,-0.011882717176577184,-0.6748754662299483,2.549446387850332,-0.008775988241072508,-0.7631281950686502,2.9289534382568907
22,1.478137,5.027413,-3.612526,-0.0064361845206621915,-0.5026190721912286,2.549446387850332,-0.006585834173705063,-0.628548899245459,2.9289534382568907
23,0.048293,4.012442,-3.898213,-0.0006582294295371938,-0.31988084738063105,2.549446387850332,-0.004830787395186498,-0.5207058195694747,2.9289534382568907
24,3.239402,4.186968,-4.194113,-0.014298625958542033,-0.7512829278937999,2.549446387850332,-0.00967213684079038,-0.8181942058575323,2.9289534382568907
25,1.607318,3.560959,-4.628838,-0.010540018096464099,-0.6324101921866165,2.549446387850332,-0.007885204427896308,-0.7083918365201183,2.9289534382568907
26,1.177275,1.890755,-4.988287,-0.01334629809231025,-0.7211638458019077,2.549446387850332,-0.008251780331035796,-0.7309169764841579,2.9289534382568907
27,0.632516,0.499615,5.082049,-0.013953197219649383,-0.7403581225693757,2.549446387850332,-0.006789733872814896,-0.6410780077376965,2.9289534382568907
28,0.202258,2.173731,4.850738,-0.007730349649142543,-0.5435493726972909,2.549446387850332,-0.006086605583244253,-0.5978725951625334,2.9289534382568907
29,-0.178425,0.129685,-4.93033,-0.010969208310835032,-0.6459841048673662,2.549446387850332,-0.004279620305383869,-0.48683802920177954,2.9289534382568907
30,1.12879,-1.177698,5.067491,-0.017474175452183882,-0.8517153937254645,2.549446387850332,-0.00638394286885946,-0.6161432013798266,2.9289534382568907
