point_index,x,y,z,homo_effect,homo_effect_normalized,homo_baseline
0,-2.383303,-2.865203,-0.42737,-0.4056073391403583,-0.5078579992097505,-8.485275048487397
1,3.386174,0.840029,1.699955,-0.38371114831761677,-0.26505274389260125,-8.485275048487397
2,3.301212,1.79498,1.412066,-0.36862031903863723,-0.09771164398655974,-8.485275048487397
3,2.491566,0.497108,1.404295,-0.41612043810889165,-0.6244369831934862,-8.485275048487397
4,4.306793,0.585986,1.401205,-0.36767647798367076,-0.08724545969975106,-8.485275048487397
5,4.679169,0.160874,-0.85379,-0.36435620714065564,-0.050427219655776345,-8.485275048487397
6,3.372509,2.272609,-0.933369,-0.3604994875086618,-0.007660338305786274,-8.485275048487397
7,2.257317,0.150396,-1.064909,-0.4352623811497498,-0.8367005867091577,-8.485275048487397
8,4.247918,0.83631,-1.462618,-0.36436511401147165,-0.05052598729349311,-8.485275048487397
9,2.974479,1.536612,-1.501752,-0.3824554888612415,-0.2511288282049491,-8.485275048487397
10,3.168172,0.150369,-1.533771,-0.4064299198830712,-0.5169795367808399,-8.485275048487397
11,2.166173,1.481159,1.699935,-0.3749332883775587,-0.1677156983243654,-8.485275048487397
12,1.763008,2.350288,1.412795,-0.35619755382392704,0.04004348904644006,-8.485275048487397
13,2.733717,2.584867,1.170593,-0.34876999616839033,0.12240713154184468,-8.485275048487397
14,0.909804,2.268301,0.849561,-0.3857133241919586,-0.28725472542879127,-8.485275048487397
15,3.30332,2.703296,0.348492,-0.35373142982448336,0.06739015734030462,-8.485275048487397
16,0.868728,2.592382,-0.098275,-0.38332038771521404,-0.26071962821040984,-8.485275048487397
17,1.379611,2.643156,-0.977485,-0.3612962987744437,-0.01649612003576717,-8.485275048487397
18,2.498272,2.724791,-1.122132,-0.3473458687004971,0.13819917666262627,-8.485275048487397
19,1.214876,1.745466,-1.389238,-0.38813801126993575,-0.31414190273732034,-8.485275048487397
20,1.716748,0.877659,-1.521058,-0.40888139174206906,-0.5441637285631189,-8.485275048487397
21,0.953137,0.775225,1.699922,-0.40646330895324834,-0.517349785733034,-8.485275048487397
22,-0.00459,0.838118,1.406696,-0.4170326270245539,-0.6345521792272553,-8.485275048487397
23,-0.198831,0.090254,-1.043128,-0.4485277519835309,-0.9837993116996083,-8.485275048487397
24,0.06578,0.970531,-1.441211,-0.41224589863637817,-0.5814724989379447,-8.485275048487397
25,0.675506,0.099427,-1.530621,-0.4309277893412444,-0.7886346158158698,-8.485275048487397
26,0.974153,-0.63725,1.699928,-0.41236678540573557,-0.5828130034638646,-8.485275048487397
27,0.128943,-0.180979,1.409136,-0.4342440307161075,-0.825408173382816,-8.485275048487397
28,1.893532,-0.352994,1.40071,-0.423884105736688,-0.7105277245386312,-8.485275048487397
29,0.472288,-1.45066,1.400617,-0.4237941429273757,-0.7095301335393132,-8.485275048487397
30,0.992607,-2.050563,-0.926655,-0.4144855831785872,-0.6063081966857069,-8.485275048487397
31,0.400689,-1.366507,-1.420327,-0.42629716875396984,-0.7372860034900077,-8.485275048487397
32,1.40301,-1.290392,-1.503371,-0.40844711254137955,-0.5393480383338929,-8.485275048487397
33,2.211978,-1.290331,1.699951,-0.3812443961055312,-0.23769910939479078,-8.485275048487397
34,1.412811,-1.817087,1.403074,-0.39656828796246657,-0.40762462314722014,-8.485275048487397
35,3.132597,-1.544374,1.401201,-0.3670340785861326,-0.08012193986027094,-8.485275048487397
36,2.390745,-2.234443,1.393805,-0.3626956427381991,-0.032013342695484726,-8.485275048487397
37,3.224693,-2.368292,0.81709,-0.35466934640372916,0.056989669130572684,-8.485275048487397
38,1.281764,-2.520894,0.699874,-0.3975805749143797,-0.4188497989690444,-8.485275048487397
39,3.391,-2.435748,-0.387366,-0.3555311193827766,0.04743353172306941,-8.485275048487397
40,2.696541,-2.461168,-1.119027,-0.3579563610514187,0.02054020459930128,-8.485275048487397
41,3.193523,-1.612095,-1.344002,-0.3653147785572486,-0.061056747843110215,-8.485275048487397
42,2.694555,-0.742852,-1.538082,-0.3939513183617427,-0.37860523903585064,-8.485275048487397
43,3.402387,-0.57821,1.699962,-0.3729072941523377,-0.1452495968408627,-8.485275048487397
44,4.27242,-0.537384,-1.457462,-0.3547977201603336,0.05556614195177256,-8.485275048487397
45,4.441741,1.734192,1.683212,-0.3232625208808866,0.40525765562687277,-8.485275048487397
46,5.074333,2.470827,1.42603,-0.29596213276649674,0.7079896586512118,-8.485275048487397
47,4.073167,2.584165,1.287094,-0.31494272498030895,0.49751526263166035,-8.485275048487397
48,5.061063,0.225122,0.849689,-0.34498009610305314,0.1644330556142155,-8.485275048487397
49,5.884335,2.479399,0.833586,-0.2869207268072165,0.8082491467119839,-8.485275048487397
50,6.324513,1.694987,0.350213,-0.290411110360429,0.769544539291759,-8.485275048487397
51,5.913764,0.544861,0.343565,-0.3120240328793642,0.5298804254355032,-8.485275048487397
52,5.631196,3.038601,0.029649,-0.2830397645313578,0.8512848529631092,-8.485275048487397
53,6.164634,2.303962,-0.440243,-0.2842935983563226,0.837381181568372,-8.485275048487397
54,5.249613,2.962356,-0.895624,-0.2878608022623341,0.7978247188859275,-8.485275048487397
55,4.26094,2.790391,-1.188008,-0.30686393098903064,0.5871004171266458,-8.485275048487397
56,4.007944,1.807172,-1.560532,-0.3375243243721915,0.24710956192316003,-8.485275048487397
57,4.498708,-1.42867,1.683508,-0.3157190379097541,0.4889067854510467,-8.485275048487397
58,4.432053,-0.459484,1.446174,-0.34982142352454026,0.11074793064593935,-8.485275048487397
59,5.177056,-2.12319,1.416402,-0.2901757513909713,0.7721544176552142,-8.485275048487397
60,4.164769,-2.293731,1.278122,-0.311993176571459,0.5302225887724836,-8.485275048487397
61,5.999007,-2.053701,0.812723,-0.2807999483061261,0.8761220109342593,-8.485275048487397
62,6.370121,-1.238037,0.328413,-0.2844723220640528,0.8353993274715585,-8.485275048487397
63,5.716067,-2.675822,0.045767,-0.2791866624787289,0.8940116192406444,-8.485275048487397
64,6.101109,-0.347771,-0.098787,-0.30057338732695005,0.656855794777484,-8.485275048487397
65,6.234082,-1.922701,-0.416729,-0.27793595978751195,0.9078805697227246,-8.485275048487397
66,5.341075,-2.608938,-0.893737,-0.28397244610162176,0.8409424153843166,-8.485275048487397
67,4.101707,-2.431588,-1.127606,-0.31412559531460094,0.506576353609338,-8.485275048487397
68,4.895051,-1.968208,-1.556023,-0.2965821339329908,0.7011145111542705,-8.485275048487397
69,1.962484,3.240877,0.987566,-0.33058351505891537,0.3240756877237869,-8.485275048487397
70,2.702623,3.538225,0.373606,-0.32140665068800534,0.4258372641837185,-8.485275048487397
71,1.306843,3.445877,0.232352,-0.3345026794428039,0.28061636109645427,-8.485275048487397
72,2.051193,3.701083,-0.405217,-0.31800118925482757,0.4636001764386046,-8.485275048487397
73,-0.335998,1.775968,1.518593,-0.37847155610158545,-0.2069512898054402,-8.485275048487397
74,-1.13879,2.165996,1.050051,-0.3818224264830601,-0.24410884588882997,-8.485275048487397
75,-0.030295,2.618288,1.041939,-0.3614963787337677,-0.018714792041359174,-8.485275048487397
76,-0.795251,2.868092,0.409411,-0.36390706932523553,-0.045446763336752904,-8.485275048487397
77,-0.046369,3.008099,-0.240367,-0.3580386867723906,0.019627300712887097,-8.485275048487397
78,-1.252294,2.561698,-0.433616,-0.37945565663444913,-0.21786390849213622,-8.485275048487397
79,0.369716,2.493635,-1.018909,-0.3685520788658305,-0.09695493371145514,-8.485275048487397
80,-0.623785,2.36117,-1.21565,-0.3669769797192499,-0.07948877471004012,-8.485275048487397
81,-0.507433,-1.241117,1.524554,-0.4314372608425616,-0.7942841079561034,-8.485275048487397
82,-1.114637,-1.84913,-1.154548,-0.43430396104581614,-0.8260727364168134,-8.485275048487397
83,-0.507847,-0.790602,-1.436619,-0.43987247564447696,-0.8878215866990665,-8.485275048487397
84,2.100761,-3.088895,0.938785,-0.3515359367503823,0.09173581913689821,-8.485275048487397
85,2.935723,-3.252954,0.408251,-0.3334995609950058,0.2917398680480834,-8.485275048487397
86,1.538331,-3.314278,0.125875,-0.36519126008043035,-0.059687060506028344,-8.485275048487397
87,2.376862,-3.473782,-0.419248,-0.33633263516122724,0.26032411624766594,-8.485275048487397
88,1.532293,-2.895747,-0.796059,-0.3770918710227864,-0.19165206308025406,-8.485275048487397
89,4.715389,3.321755,1.000064,-0.28336424540813265,0.8476867083009325,-8.485275048487397
90,3.818043,3.545379,0.579617,-0.2984934251762761,0.6799203426311626,-8.485275048487397
91,4.70312,3.874114,0.162883,-0.2714793044368804,0.9794779477140008,-8.485275048487397
92,3.532856,3.379362,-0.373884,-0.3145340144468145,0.502047423784223,-8.485275048487397
93,6.31743,1.021731,-0.438515,-0.2938541626742621,0.7313647845162257,-8.485275048487397
94,5.69406,0.30165,-0.755244,-0.31974298033199844,0.4442855828353025,-8.485275048487397
95,6.391947,1.689126,-1.217338,-0.27532493987134465,0.9368339782180835,-8.485275048487397
96,5.67413,2.320769,-1.559665,-0.28088753035758174,0.8751508199843339,-8.485275048487397
97,6.039902,0.798114,-1.560461,-0.2896779185765803,0.7776748492490926,-8.485275048487397
98,5.118821,0.923869,-1.959156,-0.30780402716838484,0.5766757594910492,-8.485275048487397
99,5.307096,1.394135,2.076326,-0.2928540478744335,0.7424549842356511,-8.485275048487397
100,6.103518,1.822069,1.644074,-0.27501089937858136,0.9403163502271052,-8.485275048487397
101,5.669321,0.572329,1.629749,-0.3028983106732177,0.6310748901784511,-8.485275048487397
102,4.848752,-2.974071,1.002744,-0.28217117505987677,0.8609165779556454,-8.485275048487397
103,3.895776,-3.126843,0.684954,-0.3064934984156711,0.5912081167845671,-8.485275048487397
104,4.651446,-3.566874,0.197129,-0.2756993474237266,0.9326822003090991,-8.485275048487397
105,3.892884,-3.306361,-0.409536,-0.30323966749354536,0.6272896094150124,-8.485275048487397
106,5.337136,-1.01991,2.074823,-0.28807429512641125,0.7954573121625264,-8.485275048487397
107,6.175825,-1.355744,1.645224,-0.26962862467156157,1.0,-8.485275048487397
108,6.031041,-0.355509,1.524793,-0.2878184734710105,0.7982940997507453,-8.485275048487397
109,6.499585,-1.012819,-0.771624,-0.27620931877321464,0.9270271653891315,-8.485275048487397
110,5.947897,-1.933193,-1.383859,-0.27341224859381086,0.9580436716183682,-8.485275048487397
111,6.105487,-0.350612,-1.424047,-0.2871959773477819,0.8051969136400672,-8.485275048487397
112,5.179343,-0.343538,-1.83269,-0.3088464665010715,0.5651162261286187,-8.485275048487397
113,5.788746,-1.125903,-1.97169,-0.27677215623569573,0.9207859020166074,-8.485275048487397
114,-1.331475,0.81999,1.699891,-0.3935757232041359,-0.3744402918595646,-8.485275048487397
115,-2.279718,0.676739,1.405448,-0.3984256269727746,-0.42822051931286575,-8.485275048487397
116,-2.576111,0.189364,-0.969384,-0.43008696231628374,-0.7793107465581586,-8.485275048487397
117,-1.532867,1.91432,-1.29594,-0.3782445061699553,-0.20443354975350658,-8.485275048487397
118,-2.12776,0.925391,-1.501535,-0.3901787477061047,-0.3367714795176061,-8.485275048487397
119,-1.118283,0.103827,-1.520821,-0.41852504951675407,-0.6511015428674076,-8.485275048487397
120,-0.914549,1.175532,-1.610699,-0.39313293235718216,-0.3695302166087113,-8.485275048487397
121,-1.42995,-0.634748,1.699895,-0.4137991729571011,-0.5986966440449102,-8.485275048487397
122,-2.352734,-0.368866,1.407886,-0.4356217865808647,-0.8406860071948793,-8.485275048487397
123,-1.743602,-1.537364,1.399366,-0.4392891367929881,-0.8813529849263299,-8.485275048487397
124,-2.360319,-0.699081,-1.423824,-0.4499887309150692,-1.0,-8.485275048487397
125,-0.487737,-2.614033,1.676066,-0.37046958789231965,-0.11821805077682501,-8.485275048487397
126,-0.740132,-3.561251,1.422443,-0.3430307004732809,0.1860497608865037,-8.485275048487397
127,-1.388653,-2.768923,1.262348,-0.37913303561090395,-0.2142863876061193,-8.485275048487397
128,-0.239565,-4.244436,0.845727,-0.33042552151843907,0.32582766651518313,-8.485275048487397
129,0.673859,-4.14668,0.374899,-0.33582922150591976,0.2659064333774621,-8.485275048487397
130,-1.057922,-4.243945,0.253283,-0.33099272604472496,0.3195379770921787,-8.485275048487397
131,-0.138464,-4.460441,-0.138621,-0.3236646464954287,0.4007985141579806,-8.485275048487397
132,-1.08584,-4.055904,-0.733032,-0.3344351302801263,0.2813654088108797,-8.485275048487397
133,-1.508058,-2.779702,-1.14338,-0.3843199798471426,-0.27180403210379633,-8.485275048487397
134,-0.789081,-3.434036,-1.469093,-0.34578620084215217,0.15549421923971596,-8.485275048487397
135,-0.241558,-2.14299,-1.580223,-0.39480481367538367,-0.388069586018311,-8.485275048487397
136,-2.618456,1.586769,1.699805,-0.3495927676685264,0.11328347867566957,-8.485275048487397
137,-3.197519,2.351759,1.411447,-0.3339926410363532,0.28627213960616626,-8.485275048487397
138,-2.138823,2.420001,1.407234,-0.3480923817783612,0.1299211478522393,-8.485275048487397
139,-3.997928,2.011346,0.910473,-0.3409194195776193,0.20946160000807867,-8.485275048487397
140,-4.152913,2.336222,-0.072659,-0.3424065687603637,0.1929707117100139,-8.485275048487397
141,-3.952667,1.95418,-0.997931,-0.34076935005186915,0.21112570998090763,-8.485275048487397
142,-3.111145,2.414296,-1.409496,-0.33491641236050196,0.2760285070935353,-8.485275048487397
143,-3.162541,0.877953,-1.442264,-0.3696356798195257,-0.10897090527261855,-8.485275048487397
144,-3.722425,0.765843,1.549942,-0.3533306005620753,0.07183492365538835,-8.485275048487397
145,-4.559619,1.217876,1.231008,-0.332812136849177,0.2993626640216085,-8.485275048487397
146,-4.829219,0.273151,0.965983,-0.3610804179917455,-0.014102233857781421,-8.485275048487397
147,-5.061715,0.27591,-0.607736,-0.36566183916674344,-0.0649052775066078,-8.485275048487397
148,-4.690998,1.009584,-1.191387,-0.3351779365948726,0.2731284840250465,-8.485275048487397
149,-4.039124,0.272197,-1.431665,-0.36252230445531364,-0.030091207180090507,-8.485275048487397
150,-2.719076,-1.321133,1.540155,-0.44085269340324995,-0.8986911495884294,-8.485275048487397
151,-2.475457,-2.241535,1.226766,-0.4225844446801581,-0.6961158783316301,-8.485275048487397
152,-3.432788,-1.893729,1.122954,-0.4245006407858254,-0.7173644365142273,-8.485275048487397
153,-3.097873,-2.639567,0.543924,-0.4055738719762596,-0.5074868842797837,-8.485275048487397
154,-3.68622,-2.323117,-0.22548,-0.41362121212045544,-0.5967232493696442,-8.485275048487397
155,-3.045336,-2.356924,-1.015009,-0.41366592690083603,-0.5972190882922519,-8.485275048487397
156,-2.137759,-2.011825,-1.313098,-0.4319474613670691,-0.7999416841810655,-8.485275048487397
157,-3.18328,-1.440926,-1.405923,-0.4356313603049413,-0.840792169519531,-8.485275048487397
158,-3.749818,-0.644686,1.699902,-0.3784855707214865,-0.20710669689842687,-8.485275048487397
159,-4.036828,-1.907915,-1.088461,-0.39684229816431227,-0.41066310219397506,-8.485275048487397
160,-4.813245,-0.424126,-1.31353,-0.36917717211795953,-0.1038865469728163,-8.485275048487397
161,-3.295803,-0.382779,-1.617804,-0.3950474640668702,-0.3907603184262739,-8.485275048487397
162,-4.081192,-1.037094,-1.618646,-0.3772598966006244,-0.19351528639873183,-8.485275048487397
163,-2.726864,3.249878,1.453587,-0.31331618121834737,0.5155518872027898,-8.485275048487397
164,-3.665832,3.200884,1.103023,-0.3063130224252504,0.5932094018157152,-8.485275048487397
165,-1.782925,3.329402,1.095798,-0.3261881483900506,0.3728155865895648,-8.485275048487397
166,-2.499855,4.033724,0.87434,-0.29625392861295197,0.7047539558948466,-8.485275048487397
167,-3.472726,4.000157,0.532257,-0.28784878939169634,0.7979579287280372,-8.485275048487397
168,-1.706911,3.927144,0.269858,-0.31029198158225757,0.5490870153314766,-8.485275048487397
169,-4.117516,3.31181,0.193735,-0.3015881012603243,0.6456037063361046,-8.485275048487397
170,-2.715232,4.32422,-0.072225,-0.28717775102314924,0.8053990240181577,-8.485275048487397
171,-3.618029,3.92466,-0.459541,-0.28848462760877425,0.7909071653378288,-8.485275048487397
