point_index,x,y,z,cp_effect,cp_effect_normalized,dm_effect,dm_effect_normalized,ea_effect,ea_effect_normalized,efl_effect,efl_effect_normalized,eng_effect,eng_effect_normalized,gap_effect,gap_effect_normalized,gse_effect,gse_effect_normalized,hard_effect,hard_effect_normalized,homo_effect,homo_effect_normalized,ie_effect,ie_effect_normalized,lumo_effect,lumo_effect_normalized,nfl_effect,nfl_effect_normalized,s1_exe_effect,s1_exe_effect_normalized,s1_osc_effect,s1_osc_effect_normalized,s2_exe_effect,s2_exe_effect_normalized,s2_osc_effect,s2_osc_effect_normalized
0,0.551577,-1.364338,-0.379327,-0.026431985439920425,0.9343282991961996,0.18552716638585487,0.9166159177323403,0.023373458558765492,-0.9071061754524683,0.018937477987449144,-0.9246398964278107,0.026431985439920425,-0.9343282991961996,0.14416845150060897,0.5898931394678053,-3.805181494426506,-0.8608200167639908,0.0030585268811549327,0.5911126633582828,-0.7849839113930805,0.43191836765227176,0.029490512321075357,-0.25002674784441936,-0.6408154598924714,0.9141423999913256,-3.580092144802572,0.9193902765223732,0.15343813584872468,0.6368612925026131,1.5425533322309393e-05,0.4179514164477609,0.17216548388770914,0.6365802738190318,0.00010075907746073581,-0.2773575709681563
1,0.004572,-0.127505,2.333703,-0.02835437497274995,0.34553708175940945,-0.12068629984914536,-0.6772794653808347,0.031128681279838588,0.8171565836552248,0.0223938325512434,0.228508177084066,0.02835437497274995,-0.34553708175940956,-0.1887511045252559,-1.0,4.142847916744358,1.0,-0.0027743063070886365,-1.0,-0.7108959071496432,1.0,0.025580068665661315,-1.0,-0.8996470116748972,-0.9450542448321673,-4.063893995629337,-0.26143790542721246,-0.22657775469037666,-1.0,-0.0024329321371837492,-1.0,-0.04532180390659857,-0.3798759260276323,0.0017584552417302377,1.0
2,-0.076554,0.782439,1.925855,-0.030006993603272747,-0.16062845795408875,-0.1698398086908779,-0.9331321937730102,0.0319510567613861,1.0,0.023472399771967467,0.5883519632972714,0.030006993603272747,0.16062845795408887,-0.13562142301856905,-0.7462734927982773,3.606530907272827,0.8744356148012027,-0.0019440631581133516,-0.7735216582803002,-0.7716749651295203,0.5339668435889309,0.028062930445159395,-0.523818756256748,-0.9072963881480877,-1.0,-4.207027822397279,-0.6107884838696984,-0.16789958392033455,-0.7472526048526977,-0.0015371351903896435,-0.4812046602268937,0.00013425339446460072,-0.16743090575615238,0.0010105159191169826,0.4236664251522555
3,-0.873694,0.126057,1.920019,-0.029207855361661927,0.0841323307117614,-0.11944669889051229,-0.6708271226110638,0.030798171134847507,0.7436723840374801,0.022695569630041934,0.3291771115644646,0.029207855361661927,-0.0841323307117613,-0.11962791896817127,-0.6698947943844104,3.2136881324186106,0.7824619115003053,-0.00159031577318558,-0.6770244800440158,-0.7606543173250042,0.618469424786122,0.027617539588476347,-0.6092390457946055,-0.8802822362931747,-0.8059563444041575,-4.104296049937837,-0.3600482853887732,-0.15227707057455842,-0.6799609783077408,-0.0016965077326967816,-0.5735042963583166,0.00937320106352768,-0.12425143658570714,0.00131293724737186,0.6567007903121973
4,0.892528,0.069025,1.914316,-0.02915940258161953,0.09897249232425653,-0.11545987198800756,-0.6500749817228608,0.030726118700030725,0.7276525565578611,0.022647894522338924,0.3132712033054905,0.02915940258161953,-0.09897249232425653,-0.11851790397441064,-0.6645937984190388,3.1858729769737693,0.775949731519137,-0.0015667161184111933,-0.6705868350179085,-0.7599840418287336,0.6236088694497002,0.027592686463208338,-0.6140055584530024,-0.8785019458031441,-0.7931684517261491,-4.097931182950747,-0.34451338344519367,-0.15110321207081423,-0.6749047593561384,-0.001708420763422631,-0.5804036554656042,0.009968898768373258,-0.12146736294413707,0.001329458253251689,0.6694312486407346
5,-0.472504,-0.899782,1.909674,-0.028262967274578443,0.373533514828976,-0.05989182960221595,-0.36083346894308443,0.03016882648353203,0.6037466096353827,0.02202757499454845,0.10631319155332575,0.028262967274578443,-0.373533514828976,-0.13932462475814056,-0.7639585309200767,3.2899354795445106,0.8003132029861688,-0.0019058592089535864,-0.7631001726425971,-0.7270923889524852,0.8758108830868696,0.026357108065624857,-0.8509737469208016,-0.866417013710625,-0.706361935887546,-4.014471411506918,-0.14081087587617425,-0.17134082730511402,-0.7620752431550994,-0.002187988025760791,-0.8581421113725867,-0.008425866995485087,-0.2074377839973639,0.0016100066476571928,0.8856111634773896
6,0.539999,-0.86846,1.896543,-0.028307915359263802,0.3597667745032569,-0.06071798677016593,-0.36513376347915405,0.030152753173325664,0.6001729391940278,0.02204392909618763,0.11176943177728438,0.028307915359263802,-0.359766774503257,-0.13585798452794506,-0.7474032177243487,3.244661359087331,0.7897134699920136,-0.0018448378140618615,-0.7464544173098877,-0.72978216513755,0.8551865936156491,0.02646307754520194,-0.8306501513825749,-0.865640149665496,-0.700781692612561,-4.016687211778523,-0.14621903915998868,-0.16772521964939457,-0.7465015569807465,-0.0021500142928531137,-0.8361498554971938,-0.005682581180654012,-0.19461666740376482,0.0015916411679309376,0.8714594238049196
7,0.701984,0.848038,1.269188,-0.032343497699166335,-0.8762550610298698,-0.1612537568641419,-0.8884402717159237,0.03179694519758414,0.9657354998342584,0.02455244471186735,0.9486887628831882,0.032343497699166335,0.8762550610298698,-0.0015068662259203336,-0.10579500516376994,2.2441329796492937,0.5554663202290806,0.0005465525015821981,-0.0941176726344568,-0.8916841233226371,-0.38622258760446637,0.03289005020074853,0.401961288325003,-0.893190989548559,-0.8986803982375914,-4.34685891464218,-0.9520779893840005,-0.026232654665635735,-0.1370436143924355,-0.00040771517799716855,0.17289205351238057,0.0881873967091078,0.24409734651946624,0.0003470096537481459,-0.08760624937141004
8,-1.121831,-0.534839,1.210298,-0.030255694359077268,-0.23680075201150697,-0.025724058677219608,-0.1829841633647804,0.029114081453599283,0.3692391504846395,0.022638733578380407,0.31021482564447966,0.030255694359077268,0.23680075201150697,0.028606150817337195,0.038012945853780566,0.9015593607691699,0.2411383610899147,0.0011416129054779844,0.06820621243910052,-0.8527895655725306,-0.08799233991790245,0.03139730726455525,0.1156722190683308,-0.8241834147551916,-0.40299642679085335,-4.09670734731634,-0.341526334915485,0.00641800026641981,0.0035941709310236547,-0.0007719043527172204,-0.03802588644796112,0.12610353257082618,0.42130352607016275,0.0009106516089118892,0.3467147886222879
9,-0.747988,0.82157,1.177936,-0.03274752202624853,-1.0,-0.1547161925582563,-0.8544110903997771,0.03167349299164357,0.9382876690125077,0.024706240943813962,1.0,0.03274752202624853,1.0,0.025576508308992274,0.023544562270199743,1.9816782031193725,0.4940195041194442,0.001074029034604962,0.049770308425665544,-0.9149876272503583,-0.5649059343333558,0.033821551060853494,0.5806112807552533,-0.8894111189413656,-0.8715294473493924,-4.3664932338308375,-1.0,0.0019353552066991853,-0.015714148454977872,-0.00024596686673081583,0.26656760175070326,0.10685337856860677,0.33133533260928894,0.0002865775129164658,-0.13417295700156096
10,1.122996,-0.538428,1.148624,-0.030483621900685876,-0.30661060710033383,-0.018763777225680123,-0.14675466435815232,0.029016313303529273,0.34750180182868196,0.022716303841441826,0.3360946935110709,0.030483621900685876,0.30661060710033383,0.0459670223007862,0.120921654480598,0.6490615066577448,0.1820226939460412,0.0014673085971566024,0.15705129384406602,-0.8666171706237709,-0.19401771513462074,0.03195093049784248,0.22185009895223007,-0.8206501483229848,-0.37761684284604735,-4.107061984698852,-0.36679917670855544,0.024766360086466044,0.08262697118507933,-0.0006585614266175696,0.027615978114300832,0.14003825584969576,0.486429336473162,0.0008608022557336852,0.30830277436869613
11,0.031934,-1.315289,1.142655,-0.02900700763599673,0.1456481551033777,0.032615517325038645,0.12068367327901242,0.02888230212842302,0.31770633536037685,0.021958832990206317,0.08337870713820306,0.02900700763599673,-0.1456481551033777,-0.027837052155703645,-0.23153763942170436,1.3975970065075671,0.35727240293948026,0.00012470550757370802,-0.20919144081959729,-0.7884594047040068,0.40526946634299565,0.029131713143570437,-0.3188398569788664,-0.8162964568597102,-0.34634411544718324,-4.005148394903799,-0.11805593864942754,-0.0469215244955512,-0.22615780949141462,-0.0014309185219223714,-0.41968992432133434,0.07846300574765408,0.19864909258817964,0.0009745344993713273,0.39594051257734786
12,-0.014384,1.52042,1.014133,-0.031206185397500974,-0.5279180131695662,-0.18268621187469525,-1.0,0.031733874613564694,0.951712658307813,0.023979710029662024,0.7576065451220875,0.031206185397500974,0.5279180131695662,-0.041523073576371416,-0.2968967064079604,3.1605142495027394,0.7700126589145198,-0.0005276892160637203,-0.38715530036899415,-0.8350363468840669,0.04813330626404344,0.030678496181437254,-0.022186584994759895,-0.8765594204604376,-0.779215220078871,-4.27313636600641,-0.7721413832600251,-0.05619837388737725,-0.26611644296938497,-5.299308277511086e-05,0.37832719210529375,-0.02401914174731612,-0.28031505861031236,-0.0004719166963545308,-0.7186397257804852
13,0.883597,1.544105,0.572729,-0.03007974993258955,-0.1829123327791976,-0.12757991221139475,-0.7131619399573409,0.02990348105963392,0.5447508529456444,0.022817082427406557,0.36971758436660473,0.03007974993258955,0.1829123327791975,0.0028656406698575054,-0.0849136282964622,2.439328403423133,0.6011661450471144,0.00017626887295563165,-0.19512569935627,-0.8247283785220407,0.12717130375210872,0.030256018805545182,-0.10321236096298181,-0.8218627378521839,-0.38632691844815237,-4.120486960500317,-0.39956587601173255,-0.005645457969965406,-0.04836736102714867,0.00036056098271135956,0.6178345075593572,-0.026454174642620565,-0.29169551357098866,-0.0005924844647974755,-0.8115446592386608
14,-0.887639,1.605003,0.524583,-0.029760187546770567,-0.08503647412508697,-0.12508260242915936,-0.7001629997701265,0.029750690698051585,0.510780103180954,0.022611532326281686,0.3011396364890251,0.029760187546770567,0.08503647412508708,-0.004601978752138081,-0.12057604785785592,2.5586383723275503,0.6290994058406378,9.49684871898171e-06,-0.24061869925752954,-0.8124331323687688,0.22144707182270773,0.02976968439548955,-0.19648510218752457,-0.8170351111209074,-0.35164989642575917,-4.09307192959548,-0.33265327316383164,-0.012503265433688071,-0.0779063352339342,0.00034130515399529576,0.6066826117674426,-0.042243095801875796,-0.36548716808089976,-0.0006291733305692927,-0.8398157027953774
15,0.169493,2.216574,0.318604,-0.02777976422770223,0.5215293842304565,-0.12871336724440718,-0.7190617743646834,0.029364786457833247,0.4249798194338281,0.02152634999179867,-0.06091115874087627,0.02777976422770223,-0.5215293842304565,-0.08328596354285267,-0.4963398783101205,3.951952591749432,0.9553069291165472,-0.0015850222301310168,-0.6755804779413801,-0.7228203936418502,0.9085670909808392,0.026194741997571214,-0.882113489320443,-0.8061063571847022,-0.27314825120371866,-3.9461493814655384,0.025944539348053297,-0.08994221744184028,-0.41146297386367947,-6.693069860819537e-05,0.3702553068776986,-0.17800740606491328,-1.0,-0.0008328656838036663,-0.9967732775068471
16,-1.187402,0.944692,-0.166038,-0.0318581327142482,-0.7275970312753558,-0.012298702043405552,-0.11310280178265475,0.028173652085925482,0.16014814245402098,0.023100303438516503,0.4642089790749635,0.0318581327142482,0.7275970312753559,0.18227536058436034,0.7718767815277892,-0.4342803317922517,-0.07161302802956249,0.003684480628322717,0.7618638063538781,-0.9587522785904277,-0.9004784042126217,0.03554261334257092,0.9106890904162783,-0.7764769180060693,-0.06031888967664234,-4.158048989929945,-0.49124453091131115,0.17984206572625006,0.7505922491875088,0.001020441006784275,1.0,0.15311181846989452,0.5475303962829319,-0.00037025568699331054,-0.640303621264587
17,1.186533,0.943963,-0.181159,-0.031829349933225615,-0.7187814148822722,-0.01080584674180729,-0.10533222525599273,0.02814970790510074,0.15482449659904662,0.02307848119472053,0.45692839546336494,0.031829349933225615,0.7187814148822722,0.18207753719993747,0.770932054683038,-0.4404207993502496,-0.07305065544047173,0.0036796420281248743,0.7605439060928467,-0.9578252833966783,-0.8933705201736168,0.03550899196135049,0.9042409380228955,-0.775747746196742,-0.05508122150185668,-4.1551635273522525,-0.48420190483644643,0.17977369850765879,0.7502977676761453,0.0010177069112037897,0.9984165652152239,0.15252776369405918,0.5448007374418626,-0.00037176429997941643,-0.6414661010126851
18,-0.62196,2.116226,-0.31472,-0.027316116938500556,0.6635356983558307,-0.08600730453559602,-0.4967691462205084,0.02854775759637107,0.2433251475302911,0.021032431058746956,-0.22569797548874593,0.027316116938500556,-0.6635356983558307,-0.06348128591951863,-0.4017605106737414,3.6224317812229856,0.8781583821690373,-0.0012316406578705141,-0.579183088118123,-0.7191418540084609,0.9367728824707182,0.026084476280630042,-0.9032610484269764,-0.7826231399279784,-0.1044674299023699,-3.8780341582502658,0.19219519559281606,-0.06723547577917799,-0.3136570993415876,-1.0026596231234308e-05,0.4032109708066631,-0.1772027874135933,-0.9962395061111804,-0.0008368100294701289,-0.9998126401525294
19,0.844949,1.925047,-0.361673,-0.027654307322798388,0.5599544393572704,-0.07444577461979396,-0.43658933316036197,0.028391165473209412,0.20850913049913955,0.021143946812541115,-0.1884928293498056,0.027654307322798388,-0.5599544393572705,-0.03795315962923773,-0.2798481984717148,3.1447061184371705,0.7663116048302085,-0.0007368581504110239,-0.444213565105924,-0.7395380827931,0.7803815332903028,0.026917449172387364,-0.7435074645276752,-0.777491242422338,-0.06760481961255116,-3.8934822111239225,0.15449071769904954,-0.0408992633475842,-0.2002178253700525,0.00012882878035087517,0.48362821550820767,-0.14039939086722342,-0.8242338639683016,-0.0008047004585351729,-0.97507022690554
20,-0.76986,1.364262,-0.998047,-0.02828020667442388,0.36825341573899917,0.004763788383717049,-0.024289513945952246,0.02769891476310704,0.05459709440094085,0.021218201655807817,-0.16371908930621293,0.02828020667442388,-0.36825341573899906,0.026718559744621118,0.028998551708671272,1.6994875139425858,0.42795204817538846,0.0005812919113168391,-0.08464126332143407,-0.783801547815214,0.44098432965518786,0.02886149858574072,-0.3706635651237875,-0.7570829880705916,0.07898842899326919,-3.9037461284842845,0.12943929870260407,0.028589041433888518,0.09909259614168553,0.00024573544426783125,0.5513339970981039,-0.04147392752815371,-0.3618923563175125,-0.0006910830684470362,-0.8875209904707207
21,0.105112,1.873408,-1.033195,-0.027075856440923474,0.7371229024341646,-0.03353182306272995,-0.223624961300655,0.028029889862636992,0.1281846700047644,0.02074633791163147,-0.32114760467233705,0.027075856440923474,-0.7371229024341646,-0.049363035195603366,-0.3343372861711371,3.197552656492917,0.778684218310048,-0.0009540334217135182,-0.5034558429468448,-0.7169540621193775,0.9535481269961865,0.026121823019209955,-0.8960984199739611,-0.7663170973149815,0.012659479501304416,-3.838216032952328,0.2893803643222357,-0.04953127836069715,-0.23739893174752968,-7.827817971998302e-05,0.3636834823810564,-0.1572764436301659,-0.9031110484235908,-0.0008370531765008032,-1.0
22,0.711285,0.925563,-1.062109,-0.029696244411148598,-0.06545191229376568,0.06608217372846514,0.29488355346559914,0.02755875812182751,0.02343527149890634,0.02185470336358923,0.04863780422655628,0.029696244411148598,0.06545191229376557,0.09934023705312622,0.375811180884672,0.2198471713491017,0.08153355565701781,0.002137486289321089,0.33986609040852,-0.8551934515298978,-0.1064245203037022,0.03183373070046969,0.1993726715979316,-0.7558532144767725,0.0878219383694483,-3.9909975152265513,-0.0835175062442679,0.10342378694476473,0.42143200696806793,0.0003615932570509954,0.6184323429490479,0.06544996102601708,0.137830871347131,-0.000480143591878003,-0.7249790583487681
