point_index,x,y,z,cp_effect,cp_effect_normalized,dm_effect,dm_effect_normalized,ea_effect,ea_effect_normalized,efl_effect,efl_effect_normalized,eng_effect,eng_effect_normalized,gap_effect,gap_effect_normalized,gse_effect,gse_effect_normalized,hard_effect,hard_effect_normalized,homo_effect,homo_effect_normalized,ie_effect,ie_effect_normalized,lumo_effect,lumo_effect_normalized,nfl_effect,nfl_effect_normalized,s1_exe_effect,s1_exe_effect_normalized,s1_osc_effect,s1_osc_effect_normalized,s2_exe_effect,s2_exe_effect_normalized,s2_osc_effect,s2_osc_effect_normalized
0,0.551577,-1.364338,-0.379327,-0.02643198536586766,0.9343283033533503,0.185509703181733,0.9168400930542142,0.023373458574766914,-0.9071061785829189,0.018937477956898208,-0.9246399022148996,0.02643198536586766,-0.9343283033533503,0.14414033242377933,0.5898185615362745,-3.8051814906284562,-0.8608200187191806,0.0030585267911007463,0.5911126672124749,-0.7849491318883874,0.43247604878927093,0.029490512156968407,-0.2500267531420436,-0.6408087994646082,0.9139278810162326,-3.580092138223721,0.9193902827014953,0.15340987903943493,0.636800933351604,1.536296936215098e-05,0.41788068307513626,0.17214135577550227,0.6365075935625362,0.00010075306952177948,-0.27728780387284
1,0.004572,-0.127505,2.333703,-0.02835437492392856,0.345537078622413,-0.12069206271275368,-0.6773822559046272,0.031128681317241558,0.8171565770267393,0.022393832539911118,0.22850817674107549,0.02835437492392856,-0.3455370786224131,-0.18870303583258963,-1.0,4.142847934221209,1.0,-0.0027743063933129974,-1.0,-0.7109626563331837,1.0,0.025580068530615563,-1.0,-0.8996656921657723,-0.9451245300475207,-4.063893991740693,-0.261437905112917,-0.2265279235108375,-1.0,-0.0024327432310559914,-1.0,-0.045304945234936334,-0.37990770318649425,0.0017581837276045885,1.0
2,-0.076554,0.782439,1.925855,-0.03000699352519831,-0.16062845175856277,-0.1698084370570756,-0.9331039087527323,0.03195105683253985,1.0,0.023472399757987553,0.5883519617689281,0.03000699352519831,0.16062845175856277,-0.13550843903589094,-0.7459172528992956,3.606530944307451,0.8744356194643039,-0.001944063307341537,-0.7735216747695244,-0.7717981854418898,0.5333522837155891,0.028062930217856774,-0.5238187737752348,-0.9073066244777811,-1.0,-4.207027818128859,-0.6107884824210112,-0.16778171228127636,-0.7469168565855117,-0.0015366760392983743,-0.4810207327960274,0.0001894171225549357,-0.16725213902595437,0.0010100596148131824,0.4234631775443425
3,-0.873694,0.126057,1.920019,-0.029207855294771434,0.0841323333015529,-0.11944815728139835,-0.6709059319263347,0.03079817115482797,0.7436723738872169,0.022695569604101393,0.3291771062632094,0.029207855294771434,-0.08413233330155301,-0.11957043973884751,-0.6697897721297974,3.213688135954726,0.7824619083822717,-0.0015903158600565348,-0.6770244792259805,-0.7607315789436324,0.618240287898181,0.0276175394347149,-0.609239049240262,-0.8803020186824805,-0.8060589502187359,-4.104296044089825,-0.36004828023363644,-0.15221654179539446,-0.6798609189871536,-0.001696175182984051,-0.5733985694929482,0.009393411170673716,-0.12422965348251958,0.0013125826537930085,0.6566005255203047
4,0.892528,0.069025,1.914316,-0.02915940251478588,0.09897249488570603,-0.11546316971267934,-0.6501583172814076,0.030726118718348516,0.7276525461146355,0.022647894495861964,0.31327119783861934,0.02915940251478588,-0.09897249488570603,-0.11846476114971871,-0.6645085242164057,3.185872979389387,0.775949728143134,-0.0015667162035626347,-0.6705868337109937,-0.7600570221668281,0.6234145731228138,0.027592686311223247,-0.6140055615597301,-0.8785217833165465,-0.793273697275438,-4.097931177033056,-0.344513378129214,-0.15104720931025373,-0.6748233457574577,-0.0017081009713330528,-0.5803056819897852,0.009986865314696836,-0.12145565426017713,0.0013291127676558546,0.6693393467377577
5,-0.472504,-0.899782,1.909674,-0.028262967175436415,0.373533527083606,-0.059905150361109216,-0.3608986003904161,0.03016882651198216,0.6037466020382418,0.022027574955851878,0.10631318218331032,0.028262967175436415,-0.3735335270836061,-0.13932635596062237,-0.7641534437693096,3.2899354900509934,0.8003132014880956,-0.0019058593365457455,-0.7631001831977388,-0.7271010048738269,0.8762084656544022,0.02635710783889067,-0.8509737644506425,-0.8664273608344492,-0.7064142552063273,-4.014471403923009,-0.14081086661438147,-0.1713428489643034,-0.7622585041063583,-0.002187985328212315,-0.8582424641493269,-0.008426910312716807,-0.20752767816510076,0.0016099503927994676,0.885764976199372
6,0.539999,-0.86846,1.896543,-0.028307915298718456,0.3597667749466018,-0.06073158614750862,-0.36520139203764423,0.030152753200084703,0.6001729312380089,0.022043929075581684,0.11176942843828863,0.028307915298718456,-0.3597667749466017,-0.13585883869728033,-0.7475909286842486,3.2446613685388,0.7897134682540421,-0.0018448379013662475,-0.7464544168238556,-0.7297920290482534,0.8555665758926094,0.026463077397352208,-0.830650153775905,-0.8656508677455333,-0.7008376552013594,-4.016687206646832,-0.1462190358801787,-0.1677262595823068,-0.7466779621432609,-0.0021499830910533656,-0.8362325374671793,-0.005683660646625732,-0.1947048299011389,0.0015915608586265328,0.8715932052094697
7,0.701984,0.848038,1.269188,-0.03234349764375821,-0.8762550612494273,-0.16127755569272728,-0.88868835259932,0.03179694525437071,0.9657354968039931,0.024552444704021334,0.9486887630988721,0.03234349764375821,0.8762550612494273,-0.0015481348521673155,-0.10605899399509688,2.244132996769622,0.5554663204435886,0.0005465523893875002,-0.0941176769296479,-0.8916336609630253,-0.3858630465541608,0.03289005003314571,0.40196128259680597,-0.8931817958151936,-0.898558634050514,-4.346858911134673,-0.9520779895898197,-0.026274824986261436,-0.13729442984761553,-0.00040779863739191097,0.1727962713232516,0.08815363317467195,0.2439214442745785,0.0003470453453664382,-0.08748431581116911
8,-1.121831,-0.534839,1.210298,-0.030255694267275146,-0.2368007415553396,-0.02574388755901258,-0.18303989840459778,0.02911408148682426,0.36923914507202005,0.022638733544828024,0.31021481781959115,0.030255694267275146,0.23680074155533948,0.028568836241846363,0.03779401384261649,0.9015593748990796,0.24113836081499485,0.0011416127804508847,0.0682062051431982,-0.8527450114587918,-0.08756204142756252,0.03139730704772603,0.11567220379380116,-0.8241761752169449,-0.40297567308905724,-4.096707340449777,-0.3415263272853437,0.006379544113950253,0.00338307437141272,-0.0007720423592786334,-0.038164403955608495,0.1260768056360977,0.42118678478360994,0.000910694017275378,0.34688774722957794
9,-0.747988,0.82157,1.177936,-0.03274752197042119,-1.0,-0.15474024171106193,-0.8546521933979283,0.03167349304752065,0.938287665911459,0.024706240935450555,1.0,0.03274752197042119,1.0,0.025534880330338794,0.023302394411334193,1.9816782197813154,0.4940195042678224,0.0010740289229005384,0.04977030470723398,-0.9149364883532005,-0.564610751126009,0.03382155089332173,0.5806112751064154,-0.8894016080228603,-0.8714101692896237,-4.366493230250663,-1.0,0.0018928608235109223,-0.015945898287138216,-0.0002460643567557888,0.26646864234450973,0.10681899837210818,0.3311694803088656,0.00028660801120417283,-0.13405994143242028
