point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized
0,-0.146842,0.966052,-1.643373,-2.886223281539386,-0.7420346351833633
1,0.004572,-0.011758,1.637738,1.9167842349114794,0.7331025002684961
2,-0.393951,0.847387,1.316597,1.4416638412749778,0.5871798186855182
3,0.640404,0.688781,1.311885,1.7460647505991345,0.6806698005086544
4,-0.932374,-0.153153,1.30843,2.2326843839597386,0.8301242182982458
5,0.873268,-0.383193,1.301414,2.1154698980977704,0.7941243910409164
6,-0.10443,-0.949344,1.300262,1.2198620996633034,0.5190583375846409
7,-1.211745,0.644123,0.77138,2.1820758303541163,0.8145809245308597
8,-0.949017,-0.996593,0.763213,1.463261206789082,0.5938129700575827
9,0.686636,-1.204917,0.739968,0.8189811445934447,0.3959366514966016
10,1.366725,0.269244,0.726041,2.5972974833825093,0.9421070376439404
11,0.207865,1.389844,0.697037,0.025277031162104002,0.15216805270235434
12,-1.484857,-0.223267,0.353908,2.7857954383611743,1.0
13,1.376946,-0.631352,0.243545,2.276653644394405,0.8436284005555867
14,1.059114,1.085964,0.214541,0.9380167722387407,0.4324958020246752
15,-1.178358,0.905879,-0.200419,0.9758306367318665,0.4441094910638239
16,1.437008,0.298883,-0.277275,2.502290371952621,0.9129277124560835
17,-1.202813,-0.689087,-0.505749,0.9856556705884847,0.4471270321043759
18,1.056406,-0.382027,-0.906154,0.5891110962621129,0.32533716909724286
19,-1.071232,0.229388,-0.935891,0.8322864542297159,0.40002308198331726
20,0.243511,-0.000884,-1.382577,-0.6476488230102291,-0.054506184948805214
21,-0.566265,1.637579,0.112957,-1.7104809759394284,-0.38093148663074783
22,0.476703,1.816313,-0.175653,-2.7483936455780382,-0.699703322214144
23,1.047876,1.250562,-0.782318,-1.821316715784456,-0.41497222365243314
24,-0.298684,1.861524,-0.828076,-3.726151689835314,-1.0
25,-0.187212,-1.560816,0.398517,-1.1306621024692847,-0.20285299119593392
26,-0.316899,-1.693747,-1.148784,-3.7195003995163978,-0.9979572038322866
27,0.714875,-1.439541,-1.15011,-3.0645333365595384,-0.7967986102310344
28,-0.760727,-0.812391,-1.397471,-2.0165581447242005,-0.4749362943354877
29,0.659045,-1.705835,-0.151116,-2.299532166446755,-0.5618454832929004
